file	multicov_No	sample	group	time	type	seq	rep
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_24h_DoxMinus_H3K27ac_Rep02_runMerged.bam	26	H3K27ac_24h_DoxMinus_2	H3K27ac_24h_DoxMinus	24h	DoxMinus	H3K27ac	2
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_24h_DoxPlus_H3K27ac_Rep01_runMerged.bam	27	H3K27ac_24h_DoxPlus_1	H3K27ac_24h_DoxPlus	24h	DoxPlus	H3K27ac	1
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_24h_DoxPlus_H3K27ac_Rep02_runMerged.bam	28	H3K27ac_24h_DoxPlus_2	H3K27ac_24h_DoxPlus	24h	DoxPlus	H3K27ac	2
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_48h_DoxMinus_H3K27ac_Rep01_runMerged.bam	29	H3K27ac_48h_DoxMinus_1	H3K27ac_48h_DoxMinus	48h	DoxMinus	H3K27ac	1
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_48h_DoxMinus_H3K27ac_Rep02_runMerged.bam	30	H3K27ac_48h_DoxMinus_2	H3K27ac_48h_DoxMinus	48h	DoxMinus	H3K27ac	2
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_48h_DoxPlus_H3K27ac_Rep01_runMerged.bam	31	H3K27ac_48h_DoxPlus_1	H3K27ac_48h_DoxPlus	48h	DoxPlus	H3K27ac	1
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_48h_DoxPlus_H3K27ac_Rep02_runMerged.bam	32	H3K27ac_48h_DoxPlus_2	H3K27ac_48h_DoxPlus	48h	DoxPlus	H3K27ac	2
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_UI_DoxMinus_H3K4me3_Rep01.bam	33	H3K4me3_UI_DoxMinus_1	H3K4me3_UI_DoxMinus	UI	DoxMinus	H3K4me3	1
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_UI_DoxMinus_H3K4me3_Rep02.bam 	34	H3K4me3_UI_DoxMinus_2	H3K4me3_UI_DoxMinus	UI	DoxMinus	H3K4me3	2
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_UI_DoxPlus_H3K4me3_Rep01.bam	35	H3K4me3_UI_DoxPlus_1	H3K4me3_UI_DoxPlus	UI	DoxPlus	H3K4me3	1
